stock_code,description,units_sold,units_returned,net_sales,gross_sales,return_value,total_orders
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,5104,603,7618.29,8568.00,949.71,538
21382,SET/4 SPRING FLOWER DECORATION,1238,8,1659.66,1665.66,6.00,153
21383,PACK OF 12 STICKY BUNNIES,2204,62,1550.13,1590.43,40.30,328
21384,IVORY HANGING DECORATION  BUTTERFLY,1917,0,1810.19,1810.19,0.00,150
21385,IVORY HANGING DECORATION  HEART,10832,6,9353.84,9358.94,5.10,693
21386,IVORY HANGING DECORATION  EGG,1148,0,680.78,680.78,0.00,105
21387,IVORY HANGING DECORATION  RABBIT,25,0,21.25,21.25,0.00,4
21388,IVORY HANGING DECORATION  CHICKEN,311,0,290.17,290.17,0.00,29
21389,IVORY HANGING DECORATION  BIRD,2299,30,1982.59,2008.09,25.50,267
21390,FILIGRIS HEART WITH BUTTERFLY,10937,75,13459.22,13552.97,93.75,592
21391,FRENCH EMROIDR LAVENDER SCENT HEART,341,0,741.60,741.60,0.00,67
21391,FRENCH LAVENDER SCENT HEART,1076,3,1063.99,1070.29,6.30,109
21392,RED POLKADOT PUDDING BOWL,3717,3648,134.66,608.90,474.24,18
21392,RED SPOTTY PUDDING BOWL,3828,2,865.03,869.23,4.20,32
21393,BLUE POLKADOT PUDDING BOWL,2565,2496,124.78,449.26,324.48,16
21393,BLUE  SPOTTY PUDDING BOWL,2679,3,717.25,723.55,6.30,29
21394,RED POLKADOT BEAKER ,3920,22,1690.30,1698.88,8.58,138
21394,RED SPOTTY BEAKER ,85,0,165.75,165.75,0.00,16
21395,BLUE POLKADOT BEAKER ,2856,10,1170.26,1174.16,3.90,95
21395,BLUE SPOTTY BEAKER ,112,10,207.94,227.44,19.50,24
21396,RED SPOTTY EGG CUP ,948,5,1199.00,1205.25,6.25,78
21397,BLUE POLKADOT EGG CUP ,1163,0,679.38,679.38,0.00,81
21397,BLUE  SPOTTY EGG CUP ,994,12,1323.36,1338.36,15.00,100
21398,RED POLKADOT COFFEE  MUG,1585,0,864.11,864.11,0.00,73
21398,RED  SPOTTY COFFEE  MUG,710,2,1363.59,1367.79,4.20,54
21399,BLUE POLKADOT COFFEE MUG,2137,111,1011.17,1054.46,43.29,86
21399,BLUE  SPOTTY  COFFEE MUG,241,1,493.88,495.98,2.10,36
21400,RED PUDDING SPOON,1078,12,208.03,213.07,5.04,92
21401,BLUE PUDDING SPOON,1437,0,315.70,315.70,0.00,121
21402,RED  EGG  SPOON,1698,1,333.00,333.42,0.42,152
21403,BLUE EGG  SPOON,2319,0,523.07,523.07,0.00,157
21406,SPOTTY CAT DOORSTOP ,1,0,8.65,8.65,0.00,1
21407,BROWN CHECK CAT DOORSTOP ,1294,2,5874.83,5883.33,8.50,455
21408,SPOTTY PINK DUCK DOORSTOP,703,5,3024.06,3045.31,21.25,243
21409,SPOTTY COCKEREL DOORSTOP,1,0,4.25,4.25,0.00,1
21410,COUNTRY COTTAGE  DOORSTOP GREEN,312,1,1454.03,1458.28,4.25,151
21411,GINGHAM HEART  DOORSTOP RED,2090,8,8318.94,8352.94,34.00,627
21412,VINTAGE GOLD TINSEL REEL,275,9,275.22,279.00,3.78,69
21413,PERIWINKLE T-LIGHT HOLDER,3162,0,1131.14,1131.14,0.00,52
21414,SCALLOP SHELL SOAP DISH,1637,1,868.79,870.89,2.10,37
21415,CLAM SHELL SMALL ,348,0,726.16,726.16,0.00,82
21416,CLAM SHELL LARGE,751,0,603.06,603.06,0.00,22
21417,COCKLE SHELL DISH,502,25,971.40,1023.90,52.50,120
21418,STARFISH SOAP DISH,194,3,526.19,533.84,7.65,67
21419,CONCH SHELL,1259,0,577.69,577.69,0.00,19
21420,OYSTER TRINKET BOX,120,0,332.16,332.16,0.00,31
21421,PORCELAIN ROSE LARGE ,1792,6,2136.98,2144.48,7.50,106
21422,PORCELAIN ROSE SMALL,3160,4,2615.77,2619.17,3.40,149
21424,WOODLAND STORAGE BOX LARGE ,955,58,2709.74,2861.64,151.90,151
21425,SKULLS STORAGE BOX LARGE,505,31,1183.48,1274.93,91.45,103
21426,WOODLAND STORAGE BOX SMALL,1028,104,1485.67,1647.07,161.40,109
21427,SKULLS STORAGE BOX SMALL,507,16,965.46,999.06,33.60,127
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,2883,42,11596.93,11762.93,166.00,474
21429,RED GINGHAM ROSE JEWELLERY BOX,6359,70,11221.95,11342.25,120.30,1016
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4621,62,17822.19,18044.97,222.78,836
21431,GREEN GINGHAM FLOWER JEWELLERY BOX,1483,2,2508.06,2511.36,3.30,280
21432,SET OF 3 CASES WOODLAND DESIGN,942,23,5306.56,5435.91,129.35,246
21437,24 HANGING EASTER EGGS FLORAL TUB,677,5,2332.17,2350.92,18.75,111
21438,TUB 24 HANGING EASTER EGGS SPOTTY,373,4,1214.82,1229.82,15.00,37
21439,BASKET OF TOADSTOOLS,2259,408,2405.06,2837.54,432.48,241
21440,12 MINI TOADSTOOL PEGS,472,2,595.06,597.56,2.50,96
21441,BLUE BIRDHOUSE DECORATION,928,0,655.46,655.46,0.00,133
21442,GREEN BIRDHOUSE DECORATION,973,0,704.97,704.97,0.00,136
21443,OLIVE CHALET BIRDFEEDER,257,6,705.43,727.93,22.50,27
21444,BLUE CHALET BIRDFEEDER,291,1,898.28,902.03,3.75,37
21445,12 PINK ROSE PEG PLACE SETTINGS,1519,12,1872.23,1887.23,15.00,148
21446,12 RED ROSE PEG PLACE SETTINGS,1258,0,1669.83,1669.83,0.00,232
21447,12 IVORY ROSE PEG PLACE SETTINGS,2776,1,3841.38,3842.63,1.25,337
21448,12 DAISY PEGS IN WOOD BOX,955,0,1640.17,1640.17,0.00,211
21450,DISTRESSED CANDLE STICK WHITE,13,10,17.85,77.35,59.50,4
21452,TOADSTOOL MONEY BOX,1875,43,5607.28,5731.33,124.05,427
21454,PAINTED PINK RABBIT ,937,12,797.40,807.60,10.20,195
21455,PAINTED YELLOW WOODEN DAISY,901,17,782.82,797.27,14.45,169
21456,2 PICTURE BOOK EGGS EASTER CHICKS,738,1,774.80,776.05,1.25,66
21457,2 PICTURE BOOK EGGS EASTER DUCKS,685,0,716.00,716.00,0.00,65
21458,2 PICTURE BOOK EGGS EASTER BUNNY,768,0,849.24,849.24,0.00,88
21459,YELLOW EASTER EGG HUNT START POST,263,18,485.45,520.55,35.10,49
21460,GREEN EASTER EGG HUNT START POST,113,8,234.05,249.65,15.60,29
21461,BLUE EASTER EGG HUNT START POST,82,5,161.29,171.04,9.75,26
21462,"NURSERY A,B,C PAINTED LETTERS",413,6,2384.91,2425.41,40.50,177
21463,MIRRORED DISCO BALL ,1349,73,7087.46,7484.81,397.35,328
21464,DISCO BALL ROTATOR BATTERY OPERATED,539,21,2197.50,2286.75,89.25,227
21465,PINK FLOWER CROCHET FOOD COVER,793,2,2868.14,2875.64,7.50,188
21466,RED FLOWER CROCHET FOOD COVER,927,0,3479.79,3479.79,0.00,275
21467,CHERRY CROCHET FOOD COVER,1025,5,3245.00,3263.75,18.75,259
21468,BUTTERFLY CROCHET FOOD COVER,669,2,2353.89,2361.39,7.50,144
21469,POLKA DOT RAFFIA FOOD COVER,1165,50,3414.51,3482.01,67.50,213
21470,FLOWER VINE RAFFIA FOOD COVER,1102,9,4157.18,4190.93,33.75,323
21471,STRAWBERRY RAFFIA FOOD COVER,1406,4,5080.63,5095.63,15.00,322
21472,LADYBIRD + BEE RAFFIA FOOD COVER,1056,0,4077.82,4077.82,0.00,285
21473,SWEETHEART CREAM STEEL TABLE RECT,157,4,3132.36,3212.16,79.80,93
21474,SWEETHEART CREAM STEEL FOLDIN BENCH,210,7,4049.85,4189.50,139.65,99
21475,SWEETHEART CREAM STEEL FOLDIN CHAIR,1,1,0.00,14.95,14.95,2
21476,STEEL SWEETHEART ROUND TABLE CREAM,142,2,2189.61,2219.51,29.90,87
21477,STRING OF 20 ROSE LIGHTS,273,23,2991.69,3248.94,257.25,53
21478,SILVER SKULL HOT WATER BOTTLE ,204,1,850.48,854.23,3.75,93
21479,WHITE SKULL HOT WATER BOTTLE ,6219,196,30402.62,31079.80,677.18,938
21480,PINK STRIPE HOT WATER BOTTLE,285,6,881.82,899.52,17.70,58
21481,FAWN BLUE HOT WATER BOTTLE,8174,802,23547.55,25613.45,2065.90,1065
21482,MUSHROOM BLUE HOT WATER BOTTLE,740,6,2279.06,2296.76,17.70,185
21484,CHICK GREY HOT WATER BOTTLE,4584,51,18013.19,18171.14,157.95,868
21485,RED SPOT HEART HOT WATER BOTTLE,2425,14,11601.36,11670.66,69.30,458
21485,RETROSPOT HEART HOT WATER BOTTLE,5168,22,25299.11,25408.01,108.90,939
21486,PINK HEART DOTS HOT WATER BOTTLE,1116,1,3634.92,3638.67,3.75,295
21488,RED WHITE SCARF  HOT WATER BOTTLE,2384,0,9784.58,9784.58,0.00,359
21489,BLUE WHITE SCARF HOT WATER BOTTLE,28,0,157.60,157.60,0.00,14
21490,SET OF THREE 50'S GIFT WRAPS ,637,28,1156.00,1210.60,54.60,58
21491,SET OF THREE VINTAGE GIFT WRAPS,2878,51,5267.56,5367.01,99.45,253
21493, VINTAGE DESIGN GIFT TAGS,269,0,249.90,249.90,0.00,27
21493,VINTAGE DESIGN GIFT TAGS,3,0,2.55,2.55,0.00,2
21494,ROTATING LEAVES T-LIGHT HOLDER,3833,4,6444.00,6449.00,5.00,503
21495,SKULLS AND CROSSBONES WRAP,9065,25,3684.80,3695.30,10.50,268
21495,SKULLS WRAP,3400,0,1424.00,1424.00,0.00,109
21496,WOODLAND CREATURES  WRAP,25,25,0.00,10.50,10.50,2
21497,FANCY FONTS BIRTHDAY WRAP,17500,0,6978.00,6978.00,0.00,485
21498,RED RETROSPOT WRAP ,14051,50,5715.42,5736.42,21.00,442
21498,RED SPOTS  WRAP ,12675,50,5094.50,5115.50,21.00,363
21499,BLUE POLKADOT WRAP,8702,225,3422.34,3504.84,82.50,266
21499,BLUE SPOTS  WRAP,6350,0,2555.00,2555.00,0.00,196
21500,PINK POLKADOT WRAP ,8125,0,3298.50,3298.50,0.00,260
21500,PINK SPOTS  WRAP ,7825,0,3144.50,3144.50,0.00,232
21503,TOYBOX  WRAP ,1801,1,740.00,740.42,0.42,65
21504,SKULLS GREETING CARD,4913,12,1999.98,2005.02,5.04,330
21506,"FANCY FONT BIRTHDAY CARD, ",10878,60,4509.29,4534.49,25.20,669
21507,ELEPHANT BIRTHDAY CARD ,1110,12,469.74,474.78,5.04,96
21507,"ELEPHANT, BIRTHDAY CARD, ",7113,12,2975.59,2980.63,5.04,490
21508,VINTAGE KID DOLLY CARD ,6716,12,2803.58,2808.62,5.04,542
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,8696,24,3577.14,3587.22,10.08,630
21511,VINTAGE COLLAGE  GREETING  CARD ,40,0,16.80,16.80,0.00,2
21518,BANK ACCOUNT  GREETING  CARD ,1107,0,469.28,469.28,0.00,109
21519,GIN & TONIC DIET GREETING CARD ,7356,36,3134.81,3149.93,15.12,556
21520,BOOZE & WOMEN GREETING CARD ,957,2,410.79,411.63,0.84,109
21523,DOOR MAT FANCY FONT HOME SWEET HOME,1178,1,8231.31,8238.80,7.49,246
21523,DOORMAT FANCY FONT HOME SWEET HOME,5075,5,33426.21,33466.26,40.05,716
21523,FANCY FONT HOME SWEET HOME DOORMAT,663,0,4378.65,4378.65,0.00,164
21524,DOOR MAT SPOTTY HOME SWEET HOME,1772,0,10563.06,10563.06,0.00,286
21524,DOORMAT SPOTTY HOME SWEET HOME,2817,7,21357.65,21414.04,56.39,748
21524,SPOTTY  HOME SWEET HOME DOORMAT,666,0,3978.34,3978.34,0.00,120
21525,BEWARE OF THE CAT DOORMAT,2,2,0.00,13.50,13.50,3
21527,RED RETROSPOT TRADITIONAL TEAPOT ,2337,102,16242.66,17030.56,787.90,639
21527,RETRO SPOT TRADITIONAL TEAPOT ,1008,69,7392.33,7937.91,545.58,306
21528,DAIRY MAID TRADITIONAL TEAPOT ,899,32,5466.75,5680.15,213.40,280
21529,RED RETROSPOT TOASTRACK,120,3,434.01,444.36,10.35,51
21529,RETRO SPOT CERAMIC TOASTRACK,383,5,1328.83,1346.08,17.25,106
21530,DAIRY MAID CERAMIC TOASTRACK,59,1,180.11,183.06,2.95,20
21530,DAIRY MAID TOASTRACK,900,63,1124.41,1178.50,54.09,152
21531,RED RETROSPOT SUGAR JAM BOWL,3152,28,7722.28,7791.88,69.60,598
21531,RETRO SPOT SUGAR JAM BOWL,921,9,2359.29,2382.24,22.95,199
21532,DAIRY MAID SUGAR JAM BOWL,1387,16,1386.11,1419.71,33.60,98
21533,RETRO SPOT LARGE MILK JUG,1687,45,8207.33,8420.28,212.95,534
21533,RETROSPOT LARGE MILK JUG,1656,35,8032.54,8194.59,162.05,452
21534,DAIRY MAID LARGE MILK JUG,938,29,4625.09,4768.64,143.55,363
21535,RED RETROSPOT SMALL MILK JUG,5057,55,12317.04,12456.39,139.35,844
21535,RETRO SPOT SMALL MILK JUG,1719,33,4296.91,4380.61,83.70,315
21536,DAIRY MAID  SMALL  MILK JUG,221,7,460.04,474.74,14.70,68
21537,RED RETROSPOT PUDDING BOWL,711,56,2852.45,3065.45,213.00,190
21537,RETRO SPOTS PUDDING BOWL,294,8,1239.26,1273.26,34.00,79
21538,DAIRY MAID  PUDDING BOWL,1308,2,1917.01,1924.51,7.50,53
21539,RED RETROSPOT BUTTER DISH,1856,47,9185.51,9408.77,223.26,569
21539,RETRO SPOTS BUTTER DISH,867,23,4031.82,4142.87,111.05,189
21540,DAIRY MAID BUTTER DISH,1209,8,1854.83,1885.33,30.50,41
21540,DAIRY MAID CERAMIC BUTTER DISH,114,12,458.62,509.62,51.00,56
21541,DINOSAURS WATER TRANSFER TATTOOS ,1907,19,1620.09,1636.24,16.15,204
21542,WOODLAND WATER TRANSFER TATTOOS ,1877,70,1541.25,1600.75,59.50,196
21543,BUTTERFLY WATER TRANSFER TATTOOS ,284,0,215.00,215.00,0.00,24
21544,SKULLS  WATER TRANSFER TATTOOS ,6064,24,5031.81,5052.21,20.40,506
21545,CERAMIC BIRDHOUSE BUTTERFLY SMALL,697,2,1634.22,1640.12,5.90,84
21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,719,2,1842.57,1848.47,5.90,120
21548,CERAMIC BIRDHOUSE FINCH BLUE ROOF,682,15,1731.87,1776.12,44.25,111
21549,CERAMIC BIRDHOUSE RED ROOF SMALL,547,7,1249.74,1270.39,20.65,54
21550,CERAMIC BIRDHOUSE CRESTED TIT LARGE,295,1,1559.56,1565.51,5.95,65
21551,CERAMIC BIRDHOUSE BUTTERFLY LARGE,169,0,824.95,824.95,0.00,22
21552,CERAMIC BIRDHOUSE BLACK ROSE  LARGE,165,3,819.75,837.60,17.85,37
21553,CERAMIC BIRDHOUSE FINCH BLUE  LARGE,90,1,575.32,581.27,5.95,40
21554,CERAMIC BIRDHOUSE RED ROOF LARGE,167,3,749.90,767.75,17.85,24
21555,CERAMIC STRAWBERRY TRINKET TRAY,425,1,1128.82,1131.37,2.55,135
21556,CERAMIC STRAWBERRY MONEY BOX,1607,4,4234.21,4244.41,10.20,297
21557,SET OF 6 FUNKY BEAKERS,932,1,3166.44,3169.39,2.95,303
21558,SKULL LUNCH BOX WITH CUTLERY ,3909,9,9991.59,10014.54,22.95,711
21558,SKULL LUNCHBOX WITH CUTLERY ,298,100,586.12,796.12,210.00,66
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6779,30,16815.39,16891.44,76.05,1053
21559,STRAWBERRY LUNCHBOX WITH CUTLERY,1448,4,3443.89,3454.09,10.20,187
21560,TOADSTOOL  LUNCHBOX WITH CUTLERY,4,0,15.44,15.44,0.00,4
21561,DINOSAUR LUNCH BOX WITH CUTLERY,2399,3,5866.36,5874.01,7.65,412
21561,DINOSAUR LUNCHBOX WITH CUTLERY,570,0,1429.90,1429.90,0.00,113
21562,HAWAIIAN GRASS SKIRT ,678,0,970.28,970.28,0.00,73
21563,RED HEART SHAPE LOVE BUCKET ,2786,19,6823.66,6875.71,52.05,371
21564,PINK  HEART SHAPE LOVE BUCKET ,1951,11,4492.85,4524.50,31.65,301
21576,LETS GO SHOPPING COTTON TOTE BAG,732,9,1665.94,1686.19,20.25,208
21577,SAVE THE PLANET COTTON TOTE BAG,2556,16,5680.52,5716.52,36.00,469
21578,WOODLAND DESIGN  COTTON TOTE BAG,2205,10,5040.36,5062.86,22.50,383
21579,LOLITA  DESIGN  COTTON TOTE BAG,1029,17,1522.60,1560.85,38.25,141
21580,RABBIT  DESIGN  COTTON TOTE BAG,542,6,1316.13,1329.63,13.50,173
21581,SKULLS  DESIGN  COTTON TOTE BAG,1172,20,1845.74,1890.74,45.00,205
21582,KINGS CHOICE SMALL TUBE MATCHES,117,0,193.05,193.05,0.00,16
21584,RETRO SPOT SMALL TUBE MATCHES,2005,20,3150.45,3183.45,33.00,132
21584,RETROSPOT SMALL TUBE MATCHES,1764,7,2875.05,2886.60,11.55,223
21585,SWALLOW SMALL TUBE MATCHES,1,0,1.65,1.65,0.00,1
21586,KINGS CHOICE GIANT TUBE MATCHES,2583,37,5924.40,6018.75,94.35,242
21587,COSY HOUR GIANT TUBE MATCHES,2071,6,5157.75,5173.05,15.30,261
21588,RETRO SPOT GIANT  TUBE MATCHES,1295,24,2973.75,3034.95,61.20,104
21588,RETROSPOT GIANT TUBE MATCHES,2056,1,4711.05,4713.60,2.55,183
21589,SWALLOW GIANT TUBE MATCHES,1119,12,2552.85,2583.45,30.60,89
21590,KINGS CHOICE CIGAR BOX MATCHES ,3448,26,4108.78,4141.28,32.50,288
21591,COSY HOUR CIGAR BOX MATCHES ,3978,54,5935.58,6003.08,67.50,367
21592,RETRO SPOT  CIGAR BOX MATCHES ,3104,24,3622.00,3652.00,30.00,191
21592,RETROSPOT CIGAR BOX MATCHES ,2772,0,2900.46,2900.46,0.00,286
21593,SWALLOW CIGAR BOX MATCHES ,1391,24,1599.31,1629.31,30.00,95
21594,Dr. Jam's Arouzer Stress Ball,5,0,21.06,21.06,0.00,5
21595,Dad's Cab Electronic Meter,9,0,76.95,76.95,0.00,9
21596,Hypochondriac Pill Stress Ball,10,0,42.64,42.64,0.00,9
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,1499,0,4186.29,4186.29,0.00,218
21610,SET 12 PEAR BOTANICAL T-LIGHTS,542,0,1543.67,1543.67,0.00,97
21611,SET OF 12 LILY BOTANICAL T-LIGHTS,750,6,2164.49,2182.19,17.70,150
21612,SET 12 WILDFLOWER BOTANICAL T-LIGHT,698,6,2008.07,2025.77,17.70,114
21613,S/12 VANILLA  BOTANICAL T-LIGHTS,632,0,1861.45,1861.45,0.00,145
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,1627,131,4202.12,4538.17,336.05,197
21615,4 LAVENDER BOTANICAL DINNER CANDLES,1168,0,2308.67,2308.67,0.00,169
21616,4 PEAR BOTANICAL DINNER CANDLES,1152,0,2458.58,2458.58,0.00,191
21617,4 LILY  BOTANICAL DINNER CANDLES,834,0,2135.01,2135.01,0.00,169
21618,4 WILDFLOWER BOTANICAL CANDLES,698,0,1823.74,1823.74,0.00,139
21619,4 VANILLA BOTANICAL CANDLES,1131,0,2069.02,2069.02,0.00,212
21620,S/4 ROSE    BOTANICAL  CANDLE,127,0,477.12,477.12,0.00,38
21620,SET OF 4 ROSE BOTANICAL CANDLES,960,6,1707.11,1729.61,22.50,185
21621,VINTAGE UNION JACK BUNTING,6900,64,59742.04,60286.04,544.00,1302
21622,VINTAGE UNION JACK CUSHION COVER,3699,43,19724.09,19936.94,212.85,643
21623,VINTAGE UNION JACK MEMOBOARD,6165,56,44902.98,45402.18,499.20,543
21624,VINTAGE UNION JACK DOORSTOP,1771,25,10512.40,10641.15,128.75,406
21625,VINTAGE UNION JACK APRON,984,0,7037.62,7037.62,0.00,334
21626,VINTAGE UNION JACK PENNANT,1496,60,2900.07,3017.07,117.00,216
21627,ELEPHANT CARNIVAL POUFFE,195,6,3687.65,3766.35,78.70,117
21628,TRIANGULAR POUFFE VINTAGE ,164,4,3125.48,3185.28,59.80,90
21629,SQUARE FLOOR CUSHION VINTAGE PINK ,19,0,270.47,270.47,0.00,14
21629,SQUARE FLOOR CUSHION VINTAGE RED,158,1,1682.95,1690.90,7.95,92
21630,FLOOR CUSHION ELEPHANT CARNIVAL,162,4,1937.59,1973.39,35.80,99
21631,HIPPY CHIC DECORATIVE PARASOL,221,0,1571.75,1571.75,0.00,54
21632,VINTAGE PINK DECORATIVE PARASOL,132,1,1063.47,1076.22,12.75,54
21633,SUNFLOWER DECORATIVE PARASOL,175,2,1637.61,1663.11,25.50,74
21634,ASSORTED MINI MADRAS NOTEBOOK,1771,121,1356.49,1507.74,151.25,74
21635,MADRAS NOTEBOOK LARGE ,398,12,810.24,855.24,45.00,43
21636,MADRAS NOTEBOOK MEDIUM,1014,12,955.14,985.74,30.60,99
21637,ASSORTED SANSKRIT MINI NOTEBOOK,1358,18,1719.22,1741.72,22.50,94
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,1020,8,2204.14,2220.94,16.80,143
21639,ASSORTED TUTTI FRUTTI KEYRING,259,8,221.85,228.65,6.80,17
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,2225,0,2049.40,2049.40,0.00,205
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,1666,0,946.31,946.31,0.00,111
21642,ASSORTED TUTTI FRUTTI PEN,4413,266,2402.84,2575.18,172.34,266
21643,ASSORTED TUTTI FRUTTI MIRROR,1521,14,2110.44,2127.94,17.50,207
21644,ASSORTED TUTTI FRUTTI HEART BOX,1087,28,1426.47,1461.47,35.00,140
21645,ASSORTED TUTTI FRUTTI ROUND BOX,969,30,1593.15,1642.65,49.50,136
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,848,4,1890.88,1899.28,8.40,147
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,2940,256,3682.08,3956.48,274.40,239
21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,421,4,1151.09,1162.89,11.80,31
21650,ASSORTED TUTTI FRUTTI BRACELET,3204,28,1156.64,1163.80,7.16,199
21651,HANGING GLASS ETCHED TEALIGHT,1361,0,2200.36,2200.36,0.00,124
21652,GLASS ETCHED T-LIGHT HOLDER MEDIUM,896,21,1706.99,1747.94,40.95,81
21653,GLASS ETCHED T-LIGHT HOLDER LARGE,1246,7,2550.97,2565.67,14.70,113
21654,RIDGED GLASS FINGER BOWL,1183,0,820.21,820.21,0.00,82
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,1396,128,2075.58,2277.50,201.92,95
21656,RIDGED GLASS POSY VASE ,985,2,1611.64,1614.54,2.90,141
21657,MILK BOTTLE WITH GLASS STOPPER ,257,5,1932.63,1967.38,34.75,121
21658,GLASS  BEURRE DISH,2225,90,8920.45,9271.89,351.44,572
21659,GLASS CAKE STAND,120,4,1831.90,1891.70,59.80,70
21661,VINTAGE GLASS TEA CADDY,239,6,1476.11,1511.31,35.20,102
21662,VINTAGE GLASS COFFEE CADDY,269,4,1711.25,1735.05,23.80,110
21663,VINTAGE GLASS SUGAR CADDY,76,7,446.51,488.16,41.65,39
21664,RIDGED GLASS STORAGE JAR CREAM LID,258,7,1004.82,1031.07,26.25,70
21665,TRIANGULAR RIDGED GLASS POSY HOLDER,879,0,638.80,638.80,0.00,75
21666, RIDGED GLASS T-LIGHT HOLDER,952,2,550.82,552.12,1.30,15
21666,RIDGED GLASS T-LIGHT HOLDER,808,1,552.38,553.03,0.65,72
21667,GLASS CAKE COVER AND PLATE,354,25,5732.50,6126.25,393.75,175
21668,RED STRIPE CERAMIC DRAWER KNOB,10357,87,13805.75,13912.17,106.42,837
21669,BLUE STRIPE CERAMIC DRAWER KNOB,10578,106,13691.86,13839.18,147.32,818
21670,BLUE SPOT CERAMIC DRAWER KNOB,8845,72,11974.40,12074.40,100.00,775
21671,RED SPOT CERAMIC DRAWER KNOB,9488,170,12102.01,12339.32,237.31,747
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,11120,62,14329.83,14411.13,81.30,823
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,10050,103,13128.44,13272.39,143.95,771
21674,RIDGED GLASS PENDANT LAMPSHADE,43,0,680.85,680.85,0.00,9
21675,BUTTERFLIES STICKERS,1782,12,1566.64,1576.84,10.20,269
21676,FLOWERS  STICKERS,1193,0,893.72,893.72,0.00,159
21677,HEARTS  STICKERS,2125,36,1828.78,1859.38,30.60,282
21678,PAISLEY PATTERN  STICKERS,572,0,423.00,423.00,0.00,80
21679,SKULLS  STICKERS,4871,900,3381.83,4034.51,652.68,375
21680,WOODLAND  STICKERS,2858,30,2458.18,2483.68,25.50,269
21681,GIANT MEDINA STAMPED METAL BOWL ,233,3,2204.96,2234.81,29.85,81
21682,LARGE MEDINA STAMPED METAL BOWL ,559,4,2747.79,2767.59,19.80,154
21683,MEDIUM MEDINA STAMPED METAL BOWL ,936,1,2754.52,2757.47,2.95,153
21684,SMALL MEDINA STAMPED METAL BOWL ,1696,13,1346.56,1357.61,11.05,106
21685,MEDINA STAMPED METAL TRAY ,3,1,29.90,44.85,14.95,3
21686,MEDINA STAMPED METAL STOOL,65,7,2210.49,2460.14,249.65,35
21687,SILVER PLATE CANDLE BOWL LARGE,477,1,1867.48,1871.23,3.75,102
21688,SILVER PLATE CANDLE BOWL SMALL,912,6,2827.95,2845.65,17.70,143
21689,SILVER VANILLA  FLOWER CANDLE POT,342,0,1268.12,1268.12,0.00,60
21690,SILVER  CANDLEPOT JARDIN ,258,0,990.84,990.84,0.00,82
21691,SILVER VANILLA FLOWER CANDLE POT,249,0,960.99,960.99,0.00,72
21692,SILVER LATTICE VANILLA CANDLE POT,502,4,1891.62,1906.62,15.00,112
21693,SMALL HAMMERED SILVER CANDLEPOT ,871,0,2648.62,2648.62,0.00,120
21694,SMALL REGAL  SILVER CANDLEPOT ,556,0,1593.16,1593.16,0.00,70
21695,SMALL SILVER FLOWER CANDLE POT,630,1,1949.23,1952.18,2.95,103
21696,SMALL SILVER TRELLIS CANDLEPOT,749,30,2162.64,2251.14,88.50,110
21697,SET 5 MINI DOUGHNUT FRIDGE MAGNET ,372,0,295.08,295.08,0.00,7
21698,MOCK LOBSTER FRIDGE MAGNET,530,0,399.01,399.01,0.00,112
21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,108,0,82.44,82.44,0.00,3
21700,BIG DOUGHNUT FRIDGE MAGNETS,6335,121,6925.66,7028.51,102.85,531
21701,SET 6 MINI SUSHI SET FRIDGE MAGNETS,0,12,-20.28,0.00,20.28,1
21702,SET 5 MINI GATEAUX  FRIDGE MAGNETS,2636,0,918.68,918.68,0.00,8
21703,BAG 125g SWIRLY MARBLES,14577,171,5574.65,5646.47,71.82,570
21704,BAG 250g SWIRLY MARBLES,17175,702,12723.09,13235.16,512.07,575
21705,BAG 500g SWIRLY MARBLES,2534,26,3104.21,3145.71,41.50,230
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,432,1,2058.44,2063.39,4.95,151
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",916,29,2819.27,2962.82,143.55,108
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,230,0,1107.94,1107.94,0.00,103
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",775,0,3077.01,3077.01,0.00,69
21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,379,3,1245.40,1260.25,14.85,54
21708,FOLDING UMBRELLA CREAM POLKADOT,232,1,1071.28,1076.23,4.95,77
